explanatory,species_merlin_20_estimate,species_merlin_20_p,model,species_birdlife_20_estimate,species_birdlife_20_p,species_both_20_estimate,species_both_20_p,species_either_20_estimate,species_either_20_p
is_nocturnalTRUE,-0.06867040448218366,0.353532,full,-0.032702522456953716,0.5520247,-0.032564645530149774,0.5638461,-0.0896933642731596,0.2307316
trophic_nicheFrugivore,-0.16310379524217022,0.1399797,full,-0.023387461012795138,0.7461969,-0.06609380603398897,0.5360448,-0.0018311131039326267,0.9267423
trophic_nicheGranivore,0.00555006634514981,0.9550398,full,0.004328886465425301,0.9085356,-6.42238872926999e-4,0.9914126,2.768554349678351e-4,0.9809687
trophic_nicheHerbivore aquatic,0.14676437063902215,0.1783528,full,3.375469871816246e-4,0.9907375,-0.005814178376950147,0.9086047,5.616757352351575e-4,0.9578177
trophic_nicheHerbivore terrestrial,-0.08607995371247823,0.4260183,full,-0.015714963308944528,0.7870856,-0.06848749055549672,0.5646941,-3.0396914077354556e-4,0.9792383
trophic_nicheInvertivore,-0.11145150005381642,0.1693274,full,-0.014918949124161229,0.7535027,-0.05793005840543414,0.5291753,-0.0011582233117291916,0.9294921
trophic_nicheNectarivore,-0.09412030488695346,0.3746348,full,-0.00565101940426236,0.8806686,-0.04501267024730251,0.6131947,-3.333266518607297e-4,0.9757565
trophic_nicheOmnivore,-0.05973521412349251,0.372494,full,-0.003772791248993237,0.8764648,-0.034078847201222756,0.5863074,-2.3279274157298334e-4,0.9741387
trophic_nicheScavenger,-0.14555399962096555,0.4101871,full,-0.017752446286404214,0.8199073,-0.06962383113960288,0.6293023,-0.0016194854720652024,0.9470126
trophic_nicheVertivore,-0.12996121187807802,0.1779516,full,-0.011559184140051873,0.7816529,-0.06161753515720211,0.5386931,-0.0013576073668018962,0.9304461
pc3,-0.01296566914014616,0.71735,full,0.00958686822975342,0.7139376,0.03369641771439721,0.4151629,0.004877993283877558,0.7997417
pc1,-0.0014728858118218807,0.7961653,full,7.31561671016116e-4,0.8615822,0.0025116668322044977,0.6750943,-6.508442719184428e-4,0.8718752
pc4,0.013737563158441985,0.688655,full,0.01945582356512329,0.5785345,0.027190389228500058,0.5083627,0.04281615023279814,0.3578289
pc2,-0.003952508305846427,0.775909,full,-0.013570756455574465,0.5101948,-0.008104051198059077,0.6372018,-0.0059128393113605906,0.6974362
total_species,-5.451365977810827e-7,0.9953379,full,2.9603281909563144e-6,0.9748381,1.8422384117754616e-6,0.9845636,-7.3657833144450295e-6,0.9386742
is_nocturnalTRUE,-0.1110035386662784,0.0851248,subset,-0.07511622061180984,0.2205172,-0.07646875047282933,0.2334486,-0.12208221990681924,0.0438654
trophic_nicheFrugivore,-0.2065122379426572,0.0104196,subset,-0.21872015059026684,0.0051332,-0.21192755979530636,0.0048992,-0.18200201743954653,0.0254126
trophic_nicheGranivore,0.007027160955791018,0.9493952,subset,0.04048386009443236,0.7095489,-0.0020593172842113625,0.9846216,0.02751782377343695,0.8066335
trophic_nicheHerbivore aquatic,0.18582423901239684,0.0353576,subset,0.0031567483031725747,0.9716637,-0.018642966861494165,0.8347441,0.055827308941261616,0.5356413
trophic_nicheHerbivore terrestrial,-0.10898927187298288,0.3259205,subset,-0.14696675024161046,0.1863508,-0.21960282847785215,0.0464751,-0.030212768802394166,0.7882753
trophic_nicheInvertivore,-0.14111320134523167,0.0283075,subset,-0.1395224046466551,0.0222254,-0.1857507783762635,0.0015207,-0.11512067655870029,0.0656378
trophic_nicheNectarivore,-0.11916948204173099,0.261092,subset,-0.05284848211665985,0.6103736,-0.14433160893285413,0.1704732,-0.03313073505657917,0.7506721
trophic_nicheOmnivore,-0.07563314351030377,0.2583874,subset,-0.03528324300247845,0.5946491,-0.10927267411833083,0.097862,-0.02313824772515246,0.7328581
trophic_nicheScavenger,-0.1842917398617261,0.3059833,subset,-0.16602134464205784,0.3552167,-0.22324646623359207,0.2149601,-0.16096745880791213,0.3782379
