trophic_niche,urban_niche_count
Nectarivore,6
Vertivore,22
Invertivore,42
Aquatic predator,50
Herbivore aquatic,14
Omnivore,27
Scavenger,3
Frugivore,12
Herbivore terrestrial,4
Granivore,8
