name,population,total_area,city_gdp_per_population,percentage_urban_area_as_open_public_spaces,percentage_urban_area_as_open_public_spaces_and_streets,percentage_urban_area_as_streets,share_of_population_within_400m_of_open_space,closed_forest,cultivated,herbaceous_vegetation,herbaceous_wetland,open_forest,permanent_water,shrubs,urban,city_mean_elevation,city_elevation_delta,region_100km_mean_elevation,region_100km_elevation_delta,region_50km_mean_elevation,region_50km_elevation_delta,region_20km_mean_elevation,region_20km_elevation_delta,region_100km_urban,region_100km_cultivated,region_50km_urban,region_50km_cultivated,region_20km_urban,region_20km_cultivated,mean_population_exposure_to_pm2_5_2019,city_average_pop_density,city_delta_pop_density,city_max_pop_density,region_100km_average_pop_density,region_50km_average_pop_density,region_20km_average_pop_density,city_includes_estuary,region_100km_includes_estuary,region_50km_includes_estuary,region_20km_includes_estuary,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,biome_name,realm,number_of_biomes,happiness_future_life,happiness_positive_effect,happiness_negative_effect,temperature_annual_average,temperature_monthly_min,temperature_monthly_max,rainfall_annual_average,rainfall_monthly_min,rainfall_monthly_max,merlin_pool_size,birdlife_pool_size,either_pool_size,both_pool_size
Accra,4424295,85209.0766863909,,,,,,0.00143100694867537,0.0383834797520611,0.0587572490153582,0.0144846812621006,0.0140421707222855,0.0190832158604073,0.017808900124566,0.822085474078703,32.8210152119612,121,0.0,701,0.0,381,0.0,244,0.019275610136779,0.0970097103547072,0.0300463916052763,0.119035760237681,0.0541251052346672,0.187313703975515,60.5,332.828029408682,1142.63500976563,1142.63500976563,12.0658733251316,15.2965540204606,16.5423212086268,true,true,true,true,180,260,390,500,630,740,860,1010,1200,1420,1670,1980,2120,2330,2690,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,2,8.297,0.761,0.292,26.6818148598851,21.5264458998585,32.1519501604727,876.130992093976,15.5961977968757,208.109113768471,230,429,461,198
Addis Ababa,3835602,39212.25986541,,2.53,24.3,21.77,41.77,0.00859518361349299,0.157676970140833,0.0832978047833693,3.10509792836432e-05,0.0514973191032244,0.0,0.00894170864875872,0.689811034836669,2427.43696352894,412,0.0,2286,0.0,1371,0.0,1097,0.00575324850640066,0.748854651158225,0.00828334483657485,0.879430808101385,0.0200774490781472,0.862908094044694,32.7,610.915568776304,4300.25146484375,4300.25146484375,12.8051141799334,11.0689593815118,12.1050697807563,false,false,false,false,390,450,520,600,730,930,1180,1480,1790,2160,2490,2900,3100,3450,4180,Montane Grasslands & Shrublands,Afrotropic,1,,,,16.4159104839362,6.73754579000108,25.7051508465224,1105.81000695734,7.97560465670581,259.781376882982,318,460,504,274
Agra,2421647,20953.2266960227,,,,,,0.000697188523709214,0.372496770181028,0.0227285528415237,0.00893291275342012,0.0190408158347539,0.0,0.00199798619548983,0.56977052060439,182.728398916998,15,0.0,153,0.0,122,0.0,46,0.0243594698455888,0.887564287172725,0.0303967331173726,0.925612894560833,0.0290683275731855,0.948863326735794,138.3,717.993097488375,2276.79052734375,2276.79052734375,45.9327803979607,52.5695243683981,49.0044655298011,false,false,false,false,370,430,500,560,620,680,740,830,930,1100,1290,1510,1590,1700,1900,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,1,,,,25.6120431420439,7.26158866237697,41.5931337270754,745.708630352936,3.80895602694658,272.089984165786,250,329,353,226
Ahmedabad,6671671,36219.3137298896,,1.13,12.8,11.67,29.38,0.000956490784890573,0.227567226298401,0.0119011972007709,0.0105909283321719,0.010129287729536,0.00125976835083149,0.00132975548143324,0.729569910327731,61.0,0,0.0,442,0.0,137,0.0,69,0.0331870130278529,0.874212600007904,0.0401231038761333,0.931576990273617,0.0712144891221689,0.903666803519813,88.5,1148.53931111764,3344.91796875,3344.91796875,29.3637820268623,26.5289667899968,29.9666855894076,false,true,false,false,860,1010,1180,1410,1700,2050,2480,2860,3260,3790,4430,5120,5380,5730,6320,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,2,,,,27.3103849798353,11.7614774719011,40.791109941785,753.328686439702,0.22078310712811,273.593279719818,291,325,370,246
Amman,3680236,55076.4737051156,,1.31,19.27,17.96,33.88,1.14009846974245e-05,0.129853227915296,0.16456886844051,0.0,0.0036034780467649,5.21480017550359e-05,0.0163091852979036,0.63437773169894,793.067331663459,343,0.0,1650,0.0,1168,0.0,858,0.0526935100226282,0.261580710744865,0.0288970243615285,0.249320114832554,0.0399367363469067,0.250622413457501,29.2,416.526471293701,1490.52282714844,1490.52282714844,19.1837096238994,12.7571954048681,17.0705214345715,false,true,false,false,90,140,220,300,390,500,640,740,850,970,1010,1040,1060,1110,1180,"Mediterranean Forests, Woodlands & Scrub",Palearctic,2,,,,16.58585134016,2.94972924523857,31.4773053898928,324.488191240315,0.0,74.1077794144184,141,192,229,104
Ankara,2995915,37815.5300065411,,5.12,26.19,21.07,76.78,0.00577040041117515,0.0554232783241243,0.169978096884819,8.91374034833753e-05,0.0242366180952942,0.00127139366087133,0.00488851166620729,0.736983005339914,1027.14338950207,587,0.0,1416,0.0,1017,0.0,814,0.0156299146678989,0.431276129009267,0.0341477591858798,0.426668727084332,0.0890986774162554,0.454822050344763,22.6,494.366300350847,3112.2197265625,3112.2197265625,4.55117213702317,11.7081279887143,40.7557132425828,false,false,false,false,280,440,640,950,1340,1710,1890,2210,2560,2840,3180,3570,3720,3910,4180,Temperate Broadleaf & Mixed Forests,Palearctic,1,6.43,0.437,0.314,10.9431875078719,-4.47707585866011,29.3861401911083,404.51070808903,10.8503518205551,54.2896617040492,251,206,281,176
Antananarivo,2148091,25742.0302101363,,,,,,6.93920602421047e-05,0.347319235043698,0.0730618117260063,0.0140984256982474,0.00253281019883682,0.00988415063574011,0.00145560051072556,0.551092829704809,1380.37129977253,182,0.0,1646,0.0,1021,0.0,335,0.00925292286880606,0.170448873827801,0.0198550064447944,0.210095033293321,0.0493277441058053,0.334018001428945,19,523.280743771176,21291.06640625,21291.06640625,6.28602367163527,10.6722462554149,24.1093426362126,false,false,false,false,180,190,250,300,360,450,580,740,950,1170,1360,1590,1700,1880,2230,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,1,6.83,0.796,0.28,18.5446248164241,9.52352674473831,26.4933112881709,1341.08188939963,8.94389541643054,303.032025640873,130,96,140,86
Athens,3314764,43702.2978121864,0.039980222,,,,,0.0197848013844006,0.0152263276324054,0.0329042583175159,0.000453712258688047,0.0332712870699179,0.00241006836431782,0.0306568257812205,0.788981319787798,231.415633438622,411,0.0,1358,0.0,749,0.0,749,0.0181739993320337,0.0653523959190242,0.0424254169728405,0.101493415450356,0.102000439432786,0.0996402187460161,16.8,506.133179278014,1348.3828125,1348.3828125,4.57122816503516,7.67772833324524,14.670637445799,false,true,true,true,1350,1560,1810,2120,2480,2740,2990,3050,3070,3120,3180,3230,3240,3260,3280,"Mediterranean Forests, Woodlands & Scrub",Palearctic,1,5.495,0.658,0.3,17.5273088460559,5.88825387174493,32.4687386147984,429.902858142478,5.28918002341895,74.151188949879,217,177,246,148
Bangkok,14765469,259318.576234489,,,,,,0.00493965039962415,0.129496066186949,0.00565673820782334,0.0161341198449582,0.0633502954443047,0.0161097377207929,0.00167449539713747,0.756648352650176,1.4073148726623,30,0.0,1067,0.0,274,0.0,30,0.0906775063788422,0.472234235572985,0.142077924286601,0.47067250581115,0.155564508120849,0.430832512747336,30.2,357.041224118684,2383.37915039063,2383.37915039063,14.9568609626093,24.0929693536151,28.0901689906723,true,true,true,true,1360,1710,2150,2580,3110,3840,4720,5280,5890,6110,6330,6580,6700,6920,7330,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,2,7.354,0.821,0.218,28.0250565175948,20.1269989444454,34.9239345086181,1422.08247569804,7.12485667827494,310.398407515839,314,309,391,232
Barcelona,3831296,58169.5522455748,0.055780864,,,,,0.0671300769271011,0.043411202405155,0.016626462813931,0.00246862844533713,0.0893798249537255,0.00494802982977698,0.0649847122544185,0.64793653234437,72.674894423354,500,0.0,2295,0.0,1024,0.0,975,0.0233914195636341,0.0882797186364753,0.0411082146235424,0.0666275418867981,0.0715241731605363,0.032994621161248,11.3,441.066658714813,1738.37927246094,1738.37927246094,8.93392839294353,14.7625091257352,24.4118174090888,true,true,false,false,1810,2100,2470,2930,3480,3680,3840,3970,4100,4320,4560,4820,4920,5060,5170,"Mediterranean Forests, Woodlands & Scrub",Palearctic,1,7.088,0.69,0.362,16.1168516542712,6.03950692986919,27.8034397359958,615.679572498389,27.6563329974257,86.3103828171707,279,205,294,190
