jetz_scientific_name,city_count,region_count,presence_ratio,birdlife_v3_family_name,birdlife_v3_family_name_english
Amazonetta_brasiliensis,4,8,0.5,Anatidae,"Ducks, geese and swans"
Mesophoyx_intermedia,43,63,0.683,Ardeidae,Herons and egrets
Buteo_albonotatus,1,16,0.063,Accipitridae,"Osprey, kites, hawks and eagles"
Cuculus_pallidus,1,2,0.5,Cuculidae,Cuckoos
Chlidonias_leucopterus,5,37,0.135,Laridae,Gulls and terns
Chrysococcyx_caprius,2,11,0.182,Cuculidae,Cuckoos
Cisticola_juncidis,37,74,0.5,Cisticolidae,Cisticolas and allies
Veniliornis_passerinus,3,6,0.5,Picidae,Woodpeckers
Geositta_peruviana,0,1,0.0,Furnariidae,Ovenbirds
Carpodacus_purpureus,10,16,0.625,Fringillidae,Finches and Hawaiian honeycreepers
Icteria_virens,4,19,0.211,Parulidae,New World warblers
Lanius_collurio,6,23,0.261,Laniidae,Shrikes
Larus_pipixcan,3,11,0.273,Laridae,Gulls and terns
Melierax_metabates,0,6,0.0,Accipitridae,"Osprey, kites, hawks and eagles"
Myiophobus_fasciatus,6,14,0.429,Tyrannidae,Tyrant-flycatchers
Myrmecocichla_aethiops,0,2,0.0,Muscicapidae,Chats and Old World flycatchers
Pheucticus_melanocephalus,10,13,0.769,Cardinalidae,"Grosbeaks, saltators and allies"
Phylloscopus_fuligiventer,0,1,0.0,Sylviidae,Old World warblers
Stigmatopelia_chinensis,46,52,0.885,Columbidae,Doves and pigeons
Tauraco_livingstonii,0,1,0.0,Musophagidae,Turacos
Porzana_parva,1,11,0.091,Rallidae,"Rails, crakes and allies"
Aethopyga_christinae,4,6,0.667,Nectariniidae,Sunbirds
Cacicus_chrysopterus,1,3,0.333,Icteridae,New World blackbirds
Cyanocorax_cyanopogon,0,4,0.0,Corvidae,Crows and jays
Egretta_thula,27,36,0.75,Ardeidae,Herons and egrets
Euscarthmus_meloryphus,1,11,0.091,Tyrannidae,Tyrant-flycatchers
Gallinago_media,0,24,0.0,Scolopacidae,Sandpipers and allies
Haematopus_moquini,1,2,0.5,Haematopodidae,Oystercatchers
Icterus_cayanensis,2,9,0.222,Icteridae,New World blackbirds
Lymnocryptes_minimus,3,41,0.073,Scolopacidae,Sandpipers and allies
Megarynchus_pitangua,7,12,0.583,Tyrannidae,Tyrant-flycatchers
Melanerpes_rubricapillus,2,3,0.667,Picidae,Woodpeckers
Phylloscopus_fuscatus,14,27,0.519,Sylviidae,Old World warblers
