presence_ratio,foraging_niche,trophic_niche,is_noctural,pc1,pc2,pc3,pc4,abs_pc1_delta,abs_pc2_delta,abs_pc3_delta,abs_pc4_delta,pc1_delta,pc2_delta,pc3_delta,pc4_delta
0,Herbivore arboreal,Herbivore terrestrial,FALSE,3.52032746690764,0.856920565706961,-0.610910302901029,-0.385997053720152,3.5200686601420093,0.8616000393254485,0.597182394126095,0.3775247035087072,3.5200686601420093,0.8616000393254485,-0.597182394126095,-0.3775247035087072
0,Vertivore perch,Vertivore,FALSE,-1.14941443579813,-1.4306133844367,0.307022385534325,0.575447468354515,1.1496732425637608,1.4259339108182123,0.320750294309259,0.5839198185659598,-1.1496732425637608,-1.4259339108182123,0.320750294309259,0.5839198185659598
0,"NA",Omnivore,FALSE,-0.3518916313587807,-1.1809333812571825,0.5647430441578309,-0.256145329778741,0.3521504381244115,1.1762539076386949,0.578470952932765,0.24767297956729623,-0.3521504381244115,-1.1762539076386949,0.578470952932765,-0.24767297956729623
0,Invertivore sally surface,Invertivore,TRUE,0.7758965730592583,0.10612601582760856,-0.5090301157830869,0.32953934266235224,0.7756377662936276,0.11080548944609611,0.49530220700815286,0.338011692873797,0.7756377662936276,0.11080548944609611,-0.49530220700815286,0.338011692873797
0,Vertivore arboreal,Vertivore,FALSE,2.02503878338438,-0.373091328649588,-0.699156227807013,-0.72337715130937,2.024779976618749,0.3684118550311004,0.685428319032079,0.7149048010979252,2.024779976618749,-0.3684118550311004,-0.685428319032079,-0.7149048010979252
0,Nectarivore glean,Nectarivore,FALSE,-0.338672472070699,-0.219148071251872,0.171884548102889,-1.09241344374947,0.3389312788363298,0.21446859763338444,0.18561245687782302,1.0839410935380251,-0.3389312788363298,-0.21446859763338444,0.18561245687782302,-1.0839410935380251
0,Nectarivore aerial,Nectarivore,FALSE,-4.0364831208355,0.088460758887326,0.487478250266087,-0.710896172801761,4.036741927601131,0.09314023250581356,0.501206159041021,0.7024238225903162,-4.036741927601131,0.09314023250581356,0.501206159041021,-0.7024238225903162
0,Fugivore glean,Frugivore,FALSE,3.1848248596227324,-2.07461686381028,-0.258496277885692,0.1323835912192515,3.1845660528571016,2.0699373901917926,0.244768369110758,0.1408559414306963,3.1845660528571016,-2.0699373901917926,-0.244768369110758,0.1408559414306963
0,Fugivore glean,Frugivore,FALSE,6.801638273583235,-2.1083415871843147,-0.68839160510981,-0.053942915016587295,6.801379466817604,2.1036621135658273,0.674663696334876,0.04547056480514251,6.801379466817604,-2.1036621135658273,-0.674663696334876,-0.04547056480514251
0,Invertivore ground,Invertivore,FALSE,-1.91906702999092,0.4698770832554055,1.091041590541005,0.6103068762650145,1.9193258367565509,0.4745565568738931,1.104769499315939,0.6187792264764592,-1.9193258367565509,0.4745565568738931,1.104769499315939,0.6187792264764592
0,Generalist,Herbivore terrestrial,FALSE,3.917680969954345,0.9484491193308805,0.03552717181159583,0.09861709904854721,3.9174221631887143,0.953128592949368,0.04925508058652984,0.10708944925999199,3.9174221631887143,0.953128592949368,0.04925508058652984,0.10708944925999199
0,Aquatic ground,Aquatic predator,FALSE,4.33381463324698,-1.21396558333783,-0.130920307696324,0.550799871997887,4.333555826481349,1.2092861097193424,0.11719239892139,0.5592722222093318,4.333555826481349,-1.2092861097193424,-0.11719239892139,0.5592722222093318
0,"NA",Omnivore,TRUE,3.06305006925112,0.590637292480521,-0.154666446828004,0.0929967610462878,3.062791262485489,0.5953167660990085,0.14093853805307,0.10146911125773259,3.062791262485489,0.5953167660990085,-0.14093853805307,0.10146911125773259
0,Generalist,Invertivore,FALSE,-1.02910245117284,-1.66538429630975,0.427644214152946,0.534061789091415,1.0293612579384708,1.6607048226912624,0.44137212292788003,0.5425341393028598,-1.0293612579384708,-1.6607048226912624,0.44137212292788003,0.5425341393028598
0,Generalist,Invertivore,TRUE,1.08398472222063,1.01593952880638,-1.00354310899927,-1.47898491094315,1.0837259154549992,1.0206190024248676,0.9898152002243359,1.4705125607317053,1.0837259154549992,1.0206190024248676,-0.9898152002243359,-1.4705125607317053
0,Herbivore ground,Herbivore terrestrial,FALSE,5.35429676814317,0.778239131865585,0.125444962846168,0.457459856819588,5.354037961377539,0.7829186054840725,0.139172871621102,0.4659322070310328,5.354037961377539,0.7829186054840725,0.139172871621102,0.4659322070310328
0,Nectarivore aerial,Nectarivore,FALSE,-4.48641095705668,-1.19998475781344,1.35748839978653,0.210347066941021,4.486669763822311,1.1953052841949523,1.371216308561464,0.21881941715246578,-4.486669763822311,-1.1953052841949523,1.371216308561464,0.21881941715246578
0,Invertivore bark,Invertivore,FALSE,1.317049031005785,-1.2325809310684201,0.2883824923119895,-0.8524585126183305,1.3167902242401541,1.2279014574499325,0.3021104010869235,0.8439861624068857,1.3167902242401541,-1.2279014574499325,0.3021104010869235,-0.8439861624068857
0,Fugivore aerial,Frugivore,TRUE,2.80022242528305,0.161796057253372,-0.585659485647305,-0.22653352573662,2.799963618517419,0.16647553087185957,0.571931576872371,0.21806117552517523,2.799963618517419,0.16647553087185957,-0.571931576872371,-0.21806117552517523
0,"NA",Omnivore,FALSE,-4.23127930372598,-0.843213625210569,0.817821716782389,-0.16190028005205,4.231538110491611,0.8385341515920814,0.831549625557323,0.15342792984060521,-4.231538110491611,-0.8385341515920814,0.831549625557323,-0.15342792984060521
0,Nectarivore glean,Nectarivore,FALSE,-2.32686802287023,-1.28121968204339,0.757414778342026,0.170820799780872,2.3271268296358607,1.2765402084249025,0.77114268711696,0.17929314999231677,-2.3271268296358607,-1.2765402084249025,0.77114268711696,0.17929314999231677
