name,population,total_area,city_gdp_per_population,percentage_urban_area_as_open_public_spaces,percentage_urban_area_as_open_public_spaces_and_streets,percentage_urban_area_as_streets,share_of_population_within_400m_of_open_space,closed_forest,cultivated,herbaceous_vegetation,herbaceous_wetland,open_forest,permanent_water,shrubs,urban,city_mean_elevation,city_elevation_delta,region_100km_mean_elevation,region_100km_elevation_delta,region_50km_mean_elevation,region_50km_elevation_delta,region_20km_mean_elevation,region_20km_elevation_delta,region_100km_urban,region_100km_cultivated,region_50km_urban,region_50km_cultivated,region_20km_urban,region_20km_cultivated,mean_population_exposure_to_pm2_5_2019,city_average_pop_density,city_delta_pop_density,city_max_pop_density,region_100km_average_pop_density,region_50km_average_pop_density,region_20km_average_pop_density,city_includes_estuary,region_100km_includes_estuary,region_50km_includes_estuary,region_20km_includes_estuary,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,biome_name,realm,number_of_biomes,happiness_future_life,happiness_positive_effect,happiness_negative_effect,temperature_annual_average,temperature_monthly_min,temperature_monthly_max,rainfall_annual_average,rainfall_monthly_min,rainfall_monthly_max,merlin_pool_size,birdlife_pool_size,either_pool_size,both_pool_size,city_ndvi,city_ssm,city_susm,region_20km_ndvi,region_20km_ssm,region_20km_susm,region_50km_ndvi,region_50km_ssm,region_50km_susm,region_100km_ndvi,region_100km_ssm,region_100km_susm,city_percentage_protected,region_20km_percentage_protected,region_50km_percentage_protected,region_100km_percentage_protected,city_centre_latitude
Guatemala City,2671636,41107.7004630591,,1.71,13.39,11.69,31.95,0.132613301333232,0.0675900834030729,0.0158088892981105,0.000722783252998829,0.189063127973102,0.00452289932259459,0.0378014126049513,0.551877502811938,1545.63158891894,534,974.508204315224,2500,1170.74128312041,2209,1361.9728239106,1372,0.0138788979782249,0.308606795455919,0.0182860766819224,0.254809668434765,0.0353205457129848,0.138450581850452,32.4,405.713530443607,2793.32104492188,2793.32104492188,14.2269755344095,16.546651089259,25.4663107511677,false,true,false,false,290,370,480,590,660,720,750,780,800,840,910,980,1020,1100,1280,Tropical & Subtropical Coniferous Forests,Neotropic,2,7.825,0.843,0.311,19.7039171975226,12.3728193822211,26.9781267167844,1217.06394027958,1.68769595060893,249.799115276897,332,355,414,273,4235.14982475057,13.9329205293617,59.8563656629222,6703.01259387415,14.36412648755,60.6220730486434,6762.13080902584,13.7067335323806,62.922911244625,6712.66633074747,15.3724940498596,69.9191368592346,0.0190901688086805,0.0447687767968768,0.0395763183147783,0.0596338966771088,14.61
Guayaquil,2749343,30431.7392288968,,2.92,18.87,15.95,41.44,0.0560560660797136,0.0457555030053739,0.0672899511899534,0.0130652247033782,0.0302629991090433,0.0848882709535289,0.0242591836577494,0.651644161666269,10.4200036873275,30,626.751258487472,3810,82.8397112898225,1554,25.1327611150704,183,0.00546263981381172,0.154902721361824,0.00925336522398242,0.271176258733509,0.0153505739318577,0.24211857669046,23.6,564.382744713955,1273.10485839844,1273.10485839844,4.49906791231988,5.94234961373176,5.24027725593865,true,true,true,true,260,340,460,580,720,890,1120,1350,1570,1810,2080,2390,2510,2690,2940,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,3,7.85,0.845,0.309,25.5983942053798,19.4495166631053,31.367881987388,837.748948537134,0.146698777333505,211.336515530912,291,302,357,236,2303.30016884301,11.5846393994968,66.5927440321715,4722.0770634409,11.8432283486514,69.8123688285277,4688.21039583242,12.8968726673675,71.559101155316,4752.04075502064,16.1072592729111,77.129494684878,0.0740774579263067,0.102242490592777,0.0684609183690999,0.0355053337151168,-2.2
Hangzhou,7536290,169220.888174424,,,,,,0.025821014803918,0.0234378881540448,0.00628076078995523,0.0270274590755839,0.103578208231125,0.024064838667232,0.00122028942163906,0.749147340742019,54.2635515313385,274,217.059314030093,1067,192.145300287901,914,128.402644082527,457,0.159981222086246,0.157941372295538,0.206809175644732,0.170930404066242,0.266149667032473,0.142504939035745,41.2,277.371961230184,50167.07421875,50167.07421875,39.9479177179483,40.991877668231,41.6937182619369,false,false,false,false,640,740,860,980,1030,1100,1160,1290,1480,1890,2410,2830,3010,3270,3650,Temperate Broadleaf & Mixed Forests,Palearctic,2,,,,16.7617027249125,0.879403088743357,33.2172762647278,1335.39503217805,45.0963017087258,200.355236752617,265,314,376,203,2893.19355052574,20.11577781515,98.6479563413483,4648.06890914993,20.6036065013152,96.630939357781,5156.13362012707,20.8015485264459,96.0111171547554,5173.15536104396,20.7010728592736,91.4261651264056,0.000148917785929744,0.000590616630431586,0.000193168337799483,6.92776547372066e-05,30.25
Hanoi,5351791,108855.710200263,,,,,,0.00319928342163538,0.398041702751617,0.00543621106747342,0.0193742752350043,0.038945756062381,0.0297260971510273,0.00261370994069616,0.501676498034488,57.5040168982126,152,194.719787741202,1067,106.348698937081,610,60.7429736362549,305,0.0972218544059562,0.257051924709654,0.178649061943591,0.421248568099097,0.23954456761581,0.587902291178046,26.2,307.097054792174,3055.91674804688,3055.91674804688,30.6175617210297,48.9803279941097,67.8562989863068,false,true,false,false,280,420,640,920,1310,1880,2610,2850,3130,3420,3750,4170,4380,4720,5360,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,1,6.946,0.705,0.185,23.8556039572931,13.3896688359542,33.073611057848,1682.04369892481,14.3912396075588,325.855215055735,272,382,448,206,3951.15828133774,16.4444987849117,84.4968108784984,4619.1663080963,16.6111364800554,87.3824815307327,5080.23818979453,17.3351074321367,95.1042354762874,5571.32377679995,18.4508624262427,103.560485458425,0.0,0.00359510262767649,0.0439371015310308,0.0640423891709238,21.03
Ho Chi Minh City,11508477,147470.204341126,,,,,,0.0201320926019395,0.217864170504233,0.00829250474891484,0.013622687758237,0.116363468112425,0.0313662924970203,0.00172152722061592,0.590310967392606,11.8224430210283,122,74.3836833456597,914,44.4146338196954,274,35.2138848060571,168,0.0435948078148971,0.337051186278917,0.0632343035411217,0.347829933496092,0.0977921192158843,0.389594610926742,26.9,487.187199361745,3814.41137695313,3814.41137695313,21.0458025337355,26.0044984261019,29.885919314371,false,true,true,false,1210,1300,1400,1760,2230,2810,3460,3720,4000,4300,4620,5070,5310,5720,6480,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,2,6.782,0.637,0.283,27.1601053118412,20.7200152904813,34.2889968655737,1881.92580353533,4.09137906281904,322.511507824026,226,378,406,198,3719.32462959514,17.0274784930262,92.9347819061284,5546.26622811229,17.0948952050418,94.9781424010619,5752.08391846132,17.4426672308346,100.768854973684,5952.69910887541,17.793073747072,104.302744555494,0.0,0.0146558752809474,0.0348864821243196,0.0417350781065189,10.75
Hong Kong,5707285,35520.8356219265,,6.51,31.49,24.98,89.11,0.234495096821162,0.018826748065777,0.00555444521932407,0.00352559237066146,0.102432616332534,0.0111768298239013,0.00386736234335661,0.318577200390374,25.6545942891989,76,18.7460750333124,305,19.8442182097042,244,21.1576360805258,183,0.132333728039747,0.059096524518547,0.118800410886482,0.0274324187057544,0.0924783870178694,0.0105803497601006,23.9,1296.36712109548,24667.712890625,24667.712890625,145.377578889968,248.006397062767,360.406409346991,true,true,true,true,1680,2120,2620,3190,3460,3940,4610,5070,5680,6210,6660,7060,7210,7420,7740,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,1,5.755,0.663,0.219,22.4121479749587,12.0906488034968,30.9164300480257,2102.43099396693,25.8002242304671,373.894363583484,406,302,468,240,3699.14908523506,23.6310972572233,90.2556383949894,4342.35802736326,23.2046246507208,95.323394246253,4114.38660728085,22.6737387319727,94.6877061977742,4175.57863849023,20.7460029569264,90.6301895805561,0.117418740062841,0.126962516298966,0.0340553849742323,0.0107506356964881,22.27
Houston,4902555,345225.932923734,0.089152697,3.36,15.17,11.81,27.0,0.0596447070932837,0.0221923666049123,0.139751292933389,0.00714580310848363,0.151922651545132,0.0100352142932864,0.00595453142171063,0.597043265978536,18.7206279864428,63,34.235630800797,138,31.6371111720539,118,25.7668025350182,98,0.0210624581661754,0.10063795935619,0.0344797744713151,0.11666496654665,0.0777807958375349,0.115748413616313,8.6,88.8798778166826,5275.0361328125,5275.0361328125,3.31354934616902,5.14928416136186,10.8650140591644,true,true,true,true,710,900,1150,1400,1690,2030,2420,2660,2920,3350,3850,4320,4460,4610,4790,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Nearctic,2,8.13,0.849,0.221,20.2954505947495,5.53999485795587,33.6455998269033,1174.36831424227,68.8160771728139,133.932616188684,328,302,360,270,4445.56258994384,17.9179261017699,110.087822707209,5700.37872599332,17.9630749753837,101.767433950671,5961.85442392701,18.1985129356369,98.6282880092123,6062.42979494115,17.4310197944561,92.1661374097149,0.00119142209404191,0.00637328542951868,0.032058806455315,0.0339697446293549,29.77
Hyderabad,8139691,88502.3358297108,,1.51,20.93,19.42,40.18,0.00114759602076563,0.310074287273046,0.0129084932730308,0.00348500542949953,0.0238833989319046,0.00587038728981164,0.0446886326297829,0.59790114889997,537.137817293167,92,435.094072641517,549,492.276839872725,549,535.612330746678,305,0.0190340195009835,0.869470692188796,0.0236157984682787,0.856046398116038,0.0466015251894827,0.821868209135532,43.7,572.968070401801,3340.67138671875,3340.67138671875,18.2043157397965,19.3820550744491,29.4026149553625,false,false,false,false,1100,1180,1240,1460,1750,2090,2490,3210,4190,4820,5440,6120,6380,6760,7450,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,1,,,,26.3795647302645,14.4121816764454,39.3726944540177,797.459896169701,2.68051905868516,183.978596675355,314,263,346,231,3279.31336214093,8.81568618399631,51.2734174056562,4157.53914293946,9.4594769787176,55.1220144166661,4170.42563386298,9.96168223411766,60.2391960093966,4209.40490246204,10.26431387807,65.7467499144713,0.0,0.0,0.0,0.0,17.39
Indore,2886762,28236.8918914329,,,,,,0.00224093673254935,0.413209318871532,0.0273876933779547,0.00421282895291674,0.00822042447698797,0.00040633859906482,0.00210423239689881,0.541849632071899,514.627612971189,122,403.047147327633,488,423.881899527527,457,486.165651581045,366,0.017873702727494,0.830954875459328,0.0262683432175462,0.816141878195339,0.0344502124042867,0.801694578816622,77.6,637.626472533253,2140.28637695313,2140.28637695313,17.6212480654587,21.6138998925959,22.1974384278355,false,false,false,false,300,340,390,460,550,660,810,940,1090,1310,1600,1910,2030,2180,2420,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,1,,,,24.5667367411173,9.90079301367568,39.9567125660072,978.995735699265,0.777605990323563,304.353645335318,241,327,346,222,3265.33157169224,10.1420340490117,92.5768560968912,4212.62709133435,10.3297511781386,93.0606778474957,4256.49381405594,10.1481684390469,89.3355480260691,4087.6134209344,10.0431259042726,87.4713991306561,0.0,0.0,0.0,0.0,22.42
Istanbul,14109075,134099.369160429,,3.07,26.87,23.81,59.78,0.0960475947906592,0.04287637310869,0.0702165374953682,0.0014527605333948,0.0345157406436748,0.0382231613241348,0.00856512559273794,0.627726053539768,44.228190415493,218,0.0,1714,0.0,997,0.0,665,0.0228627593758774,0.167922861462184,0.0243646094472175,0.10161468520829,0.038377568922368,0.133343522319393,26.1,726.706832915874,3598.81396484375,3598.81396484375,16.6633121601087,18.618770324856,28.3987908373713,false,false,false,false,970,1250,1450,2000,2770,3600,4400,5410,6550,7660,8740,9710,10060,10530,11180,Temperate Broadleaf & Mixed Forests,Palearctic,2,6.386,0.444,0.362,13.8424756026392,2.47586910136469,27.4574581026516,766.311785631073,24.751035923312,125.080959811956,271,208,291,188,3193.8664388901,15.9284211300846,62.325409388288,5348.05357349757,18.2169290016988,63.5283046336857,5612.18318571103,16.6868849448807,64.098989966181,5396.03427086203,15.3146272222346,62.9169361307022,0.0,0.0,0.0,0.00713368460818531,41.06
