niche_name,foraging_niche,trophic_niche,is_noctural,total_species,merlin_10_perc_ratio,merlin_20_perc_ratio,birdlife_10_perc_ratio,birdlife_20_perc_ratio,either_10_perc_ratio,either_20_perc_ratio,both_10_perc_ratio,both_20_perc_ratio,pc1,pc2,pc3,pc4
10 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,7,0.143,0.286,0.143,0.429,0.143,0.286,0.143,0.429,3.2191185982747,-0.38726348792528453,0.7339586221646177,-0.3361781154627567
47 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,7,0,0,0,0.143,0,0,0,0,6.02278519729789,0.47393895964264343,0.7472194005669159,-0.5461133453330027
7 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,7,0,0.143,0,0.286,0,0.286,0,0.286,4.907145618674412,-0.9077826228361495,0.6335884813643633,-0.6569298979188976
9 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,14,0.286,0.286,0.214,0.286,0.214,0.286,0.286,0.286,2.431486184908033,0.5373896525475914,0.4552064437026144,0.42929203220658646
1 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,824,0.144,0.28,0.16,0.283,0.155,0.288,0.153,0.274,0.008307079812752222,0.0702844735655737,-0.054074250901767644,0.10577194490825537
18 || Omnivore || NA || Diurnal,"NA",Omnivore,FALSE,3,0.333,0.333,0.333,0.667,0.333,0.667,0.333,0.333,3.375554648886073,-1.56109893161628,-0.64403803326875,-0.09540490449477701
2 || Frugivore || Fugivore ground || Diurnal,Fugivore ground,Frugivore,FALSE,6,0,0,0,0,0,0,0,0,4.87629107094936,0.831930752894553,-0.07979455520090555,-0.1964967227086462
4 || Frugivore || Generalist || Diurnal,Generalist,Frugivore,FALSE,3,0,0,0,0,0,0,0,0,2.9726235802379763,-0.3179410031595483,-0.30314255981252836,0.11370719077022258
5 || Frugivore || Generalist || Diurnal,Generalist,Frugivore,FALSE,1,0,0,0,0,0,0,0,0,2.08852683503476,0.285482270940315,-0.223816599457439,0.130594333396805
17 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,1,0,0,0,0,0,0,0,0,2.4951060163387,-1.6154506055385,-0.208231484404682,0.349803596119939
60 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,3,0,0,0,0,0,0,0,0,6.177253737807273,-1.9536095025235,-0.4643612258156464,-0.049738074704630764
16 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,8,0,0,0,0,0,0,0,0,2.4310793496871073,-1.7942912684338377,-0.28300180851907353,0.3146199784603336
13 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,2,0.5,0.5,0,0,0.5,0.5,0,0,2.14266312627771,-0.8868257774798709,-1.048580859039941,0.5988021816540725
4 || Frugivore || Fugivore aerial || Nocturnal,Fugivore aerial,Frugivore,TRUE,1,0,0,0,0,0,0,0,0,2.80022242528305,0.161796057253372,-0.585659485647305,-0.22653352573662
39 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,2,0,0,0,0,0,0,0,0,5.19770200363185,-1.1593305612026685,-1.177244255417645,0.138884957676359
2 || Frugivore || Generalist || Diurnal,Generalist,Frugivore,FALSE,1,0,0,0,0,0,0,0,0,3.56148275533928,0.869040947646343,-0.377371113719276,-0.412954207742282
70 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,3,0,0,0,0,0,0,0,0,6.849191980187626,-2.1703120477083733,-0.571374100115275,-0.20702402285372182
4 || Frugivore || Fugivore ground || Diurnal,Fugivore ground,Frugivore,FALSE,1,0,0,0,0,0,0,0,0,2.39090440150323,0.649186543872773,-0.382545925235891,-0.283133500665667
83 || Frugivore || Fugivore ground || Diurnal,Fugivore ground,Frugivore,FALSE,1,0,0,0,0,0,0,0,0,4.6639850732035,1.40581082358371,-0.535223065326012,-1.11331596861858
69 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,1,0,0,0,0,0,0,0,0,5.47523130810683,-2.27758566255526,-0.764027776192452,-0.154797633317711
77 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,1,0,0,0,0,0,0,1,1,4.33474798658669,-1.07145218427763,-0.577765321590389,-0.107624730268912
18 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,16,0.063,0.25,0.063,0.25,0.063,0.25,0.063,0.25,3.629591135827091,-1.865532148177795,-0.37984851313065626,0.07689424936323902
51 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,3,0,0.333,0,0.333,0,0.333,0,0.333,4.740488629125934,-2.356497438492953,-0.13388169725984334,0.21337746814984102
1 || Frugivore || Generalist || Diurnal,Generalist,Frugivore,FALSE,14,0,0,0,0.071,0,0,0,0.071,0.21965419875088804,0.2899764532036305,-0.09142089716219606,0.18869970066137595
4 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,15,0.4,0.533,0.333,0.4,0.333,0.533,0.4,0.533,2.5640208996618474,0.6081768256334856,-0.3933196311352145,-0.22432605278746134
1 || Frugivore || Fugivore aerial || Diurnal,Fugivore aerial,Frugivore,FALSE,58,0.069,0.069,0,0.034,0.017,0.034,0.034,0.052,-0.6948238463146613,0.13219950995201354,-0.19666486047491988,0.23322342323466086
12 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,11,0.182,0.182,0.091,0.091,0.091,0.182,0.182,0.182,5.330039485563757,-1.7609759080500709,-0.5721934684876906,0.01766025535937794
2 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,28,0.143,0.214,0.071,0.179,0.071,0.143,0.107,0.25,3.618517829286187,0.9309725087173355,-0.2165571936490109,-0.42504196025281654
5 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,9,0.222,0.222,0.111,0.222,0.111,0.222,0.222,0.222,2.090786476674762,0.6289469595565981,-0.5116162562419398,-0.15677333091584655
1 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,390,0.077,0.141,0.069,0.149,0.067,0.151,0.077,0.151,-0.1374505876748427,0.08510563727951438,-0.11480579042803529,0.20108870594786227
8 || Frugivore || Fugivore glean || Diurnal,Fugivore glean,Frugivore,FALSE,19,0.053,0.158,0.053,0.105,0.053,0.158,0.053,0.105,2.739072967627886,-0.7543356887431314,-0.6238163092139741,0.6737207389029315
2 || Granivore || Granivore ground || Diurnal,Granivore ground,Granivore,FALSE,2,0,0,0,0,0,0,0,0,3.43418621321805,0.9219252758654646,-0.05804232129562803,-0.12694133519600248
9 || Granivore || Granivore ground || Diurnal,Granivore ground,Granivore,FALSE,1,0,0,0,0,0,0,0,0,2.18780183700564,0.810606766898836,0.479508277140808,0.490894821805596
5 || Granivore || Granivore ground || Diurnal,Granivore ground,Granivore,FALSE,1,0,0,0,0,0,0,0,0,1.66436501695683,0.790054476925092,-0.231476497394034,0.15593401621882
8 || Granivore || Granivore arboreal || Diurnal,Granivore arboreal,Granivore,FALSE,8,0,0.125,0,0.125,0,0,0.125,0.25,2.9896522959533476,-0.7411445470034342,-0.705869552004706,0.7006457110522405
39 || Granivore || Granivore arboreal || Diurnal,Granivore arboreal,Granivore,FALSE,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.854203835328899,-1.0073135338478034,-1.250436716981805,0.1454536312543705
8 || Granivore || Granivore ground || Diurnal,Granivore ground,Granivore,FALSE,3,1,1,1,1,1,1,1,1,3.188722576096683,-0.58923721020362,-0.5063792798714537,0.6185986828821896
79 || Granivore || Granivore arboreal || Diurnal,Granivore arboreal,Granivore,FALSE,1,1,1,1,1,1,1,1,1,3.75745912837849,-1.04088107093562,-1.34555738161866,0.492290635665088
