"LOCALITY_ID","SAMPLE_ID"
"L923401","0"
"L1828534","0"
"L151004","0"
"L4091599","0"
"L3258480","0"
"L1818490","0"
"L1414730","0"
"L8855480","0"
"L4313071","0"
"L5097111","0"
"L276308","0"
"L1250231","0"
"L5551705","0"
"L1534477","0"
"L2694778","0"
"L374938","0"
"L5282947","0"
"L845161","0"
"L1451293","0"
"L1260926","0"
"L5802011","0"
"L7336948","0"
"L227485","0"
"L265408","0"
"L7049079","0"
"L1353359","0"
"L3016763","0"
"L2831921","0"
"L5529271","0"
"L198267","0"
"L931657","0"
"L1776609","0"
"L621998","0"
"L378641","0"
"L1161865","0"
"L568233","0"
"L3263522","0"
"L469789","0"
"L856812","0"
"L5481773","0"
"L562949","0"
"L875917","0"
"L1292111","0"
"L522437","0"
"L2375531","0"
"L4027458","0"
"L4620111","0"
"L2607595","0"
"L3511199","0"
"L2206392","0"
"L380385","0"
"L430192","0"
"L4935940","0"
"L1161833","0"
"L2354527","0"
"L567512","0"
"L658435","0"
"L2340007","0"
"L1741822","0"
"L7308787","0"
"L281970","0"
"L1387029","0"
"L381517","0"
"L512327","0"
"L2967845","0"
"L562958","0"
"L1883196","0"
"L1161851","0"
"L562950","0"
"L430271","0"
"L4150807","0"
"L2705906","0"
"L1502810","0"
"L1138012","0"
"L6057340","0"
"L4230679","0"
"L7527090","0"
"L265407","0"
"L775386","0"
"L508786","0"
"L2497926","0"
"L5896007","0"
"L10486563","0"
"L1149834","0"
"L5095300","0"
"L6040201","0"
"L938118","0"
"L270725","0"
"L1860221","0"
"L6822584","0"
"L1098392","0"
"L3271580","0"
"L3173468","0"
"L8962971","0"
"L3258686","0"
"L5959387","0"
"L1352806","0"
"L1807780","0"
"L3919250","0"
"L1357155","0"
"L4912530","0"
"L1878436","0"
"L3045759","0"
"L3201578","0"
"L4228711","0"
"L4510805","0"
"L388416","0"
"L2622765","0"
"L3499336","0"
"L4915849","0"
"L2091893","0"
"L5765336","0"
"L9703703","0"
"L368366","0"
"L726131","0"
"L7930324","0"
"L1274650","0"
"L3507227","0"
"L500069","0"
"L5120572","0"
"L603509","0"
"L270567","0"
"L630492","0"
"L1343025","0"
"L632306","0"
"L3493917","0"
"L5969058","0"
"L4898167","0"
"L1949767","0"
"L1418549","0"
"L5752474","0"
"L648408","0"
"L5398717","0"
"L761510","0"
"L2092345","0"
"L637478","0"
"L1901961","0"
"L2453689","0"
"L981326","0"
"L2681978","0"
"L2851988","0"
"L5472128","0"
"L5176264","0"
"L885664","0"
"L464377","0"
"L567317","0"
"L282289","0"
"L300596","0"
"L3938539","0"
"L2789589","0"
"L596550","0"
"L3085809","0"
"L157136","0"
"L2119376","0"
"L5168058","0"
"L736714","0"
"L3811856","0"
"L1165605","0"
"L5418575","0"
"L1045111","0"
"L3973843","0"
"L1054171","0"
"L3353822","0"
"L2911648","0"
"L4017948","0"
"L8223493","0"
"L5465679","0"
"L1878448","0"
"L2488675","0"
"L2509479","0"
"L7485825","0"
"L6620184","0"
"L3054529","0"
"L3570313","0"
"L2462803","0"
"L4168373","0"
"L5089363","0"
"L2534127","0"
"L3302839","0"
