explanatory,species_merlin_estimate,species_merlin_p,model,species_birdlife_estimate,species_birdlife_p,species_both_estimate,species_both_p,species_either_estimate,species_either_p
foraging_nicheHerbivore arboreal,0.9087787506746521,0.0247828,subset,0.5504041615632899,0.0727672,0.42790286188125026,0.0776013,0.7177494943429237,0.0042253
foraging_nicheHerbivore ground,0.43468868596862126,0.2416702,subset,0.3475808981253954,0.1583633,0.09991078714630858,0.4406404,0.3599082198329815,0.0756761
foraging_nicheInvertivore aerial,0.27989454651936735,0.0383262,subset,0.17875539602016527,0.1931003,0.2377418568578163,0.119551,0.20497189043244002,0.0894109
foraging_nicheInvertivore bark,0.1786329547254594,0.1839715,subset,0.13164860519576024,0.3368045,0.16480927868601095,0.2807792,0.13222554079736903,0.2711847
foraging_nicheInvertivore glean arboreal,0.19826555102760263,0.1352437,subset,0.12109839766791126,0.3715953,0.17540883463060866,0.2438086,0.1354906335047858,0.2544736
foraging_nicheInvertivore ground,0.21053110400527594,0.1143247,subset,0.1332703776252799,0.3272579,0.17489506966009852,0.2474918,0.15327016193567009,0.1987351
foraging_nicheInvertivore sally air,0.21750861086361842,0.1061334,subset,0.12166734635921636,0.3740913,0.18339275847730233,0.2284821,0.13840399141841053,0.2500758
foraging_nicheInvertivore sally ground,0.2385390018131954,0.0782225,subset,0.13702079322229738,0.3194346,0.1875597103272056,0.2216363,0.17028041856988513,0.1587894
foraging_nicheInvertivore sally surface,0.0693816941981585,0.6065635,subset,1.775224844745287e-4,0.9989667,0.00527386012477406,0.9724812,0.03698697490672466,0.7585041
foraging_nicheNectarivore aerial,0.02329587763594336,0.91864730000000006,subset,0.04418458947780279,0.8353316,0.05466212507025279,0.8031594,0.011933112046596365,0.9544875
foraging_nicheNectarivore glean,0.24152199932001536,0.296868,subset,0.2419022519591469,0.26054,0.3062929773663625,0.170038,0.19849940691187706,0.3477509
foraging_nicheOmnivore,0.1925660259918769,0.0450317,subset,0.15367201741330905,0.1265611,0.19569051490417427,0.0833862,0.15313255978402573,0.0769353
foraging_nicheScavenger ground,0.029943113914955764,0.8068681,subset,0.02624524533306564,0.8307741,-0.004521207720402879,0.9742339,0.038206865796838574,0.7254001
foraging_nicheVertivore aerial,0.2673961242479011,0.1431883,subset,0.16464958218045792,0.3490609,0.19282522015606157,0.3810925,0.18818764921900785,0.2210607
foraging_nicheVertivore air to surface,0.2631077977606916,0.1111188,subset,0.17817403470310553,0.2704231,0.1723799829300064,0.3963608,0.2094663625348804,0.132891
foraging_nicheVertivore arboreal,0.3124894770076481,0.2790383,subset,0.0944841026173651,0.7004829,0.22230350509762312,0.4964305,0.12833062261227624,0.5638409
foraging_nicheVertivore ground,0.5478112273200137,0.0186824,subset,0.48311501348494673,0.0330595,0.5027049530018012,0.0628023,0.48125756180959994,0.0182157
foraging_nicheVertivore perch,0.2748794987544995,0.0888709,subset,0.19126504206804099,0.2263233,0.2252634360247218,0.2606466,0.20112710551340865,0.1382702
is_nocturalTRUE,-0.1114576957509376,3.155e-4,subset,-0.11575620306272891,1.67e-5,-0.13502733392806948,1.119e-4,-0.10130920925760159,4.06e-5
pc2,-0.018804208943788238,0.0837517,subset,-0.02822839369277072,0.0042657,-0.021144827994549982,0.0914051,-0.026212454873475458,0.0034997
pc3,-0.04734658101441178,0.002605,subset,-0.05182860112279537,3.595e-4,-0.03802955842070749,0.035378,-0.053900881835895004,3.16e-5
pc4,-0.027706058298382855,0.0816212,subset,-0.06471108300823016,1.07e-5,-0.02213459522562476,0.2285239,-0.059988397586148594,6.5e-6
trophic_nicheFrugivore,-0.3717438143860495,0.0046175,subset,-0.3218414120331206,0.0060364,-0.4009262715269956,0.0128499,-0.2885335542972369,0.0060897
trophic_nicheGranivore,-0.07102998674467981,0.4869277,subset,-0.12428845297876416,0.1973606,-0.08222493954585244,0.4680792,-0.07648462702031023,0.3917783
trophic_nicheHerbivore aquatic,0.10040254857648277,0.4709414,subset,0.15523755918234777,0.2474444,0.04659575310274932,0.7571603,0.17988300120303416,0.1516092
trophic_nicheHerbivore terrestrial,-0.3893863471691006,0.2701504,subset,-0.28992551206899164,0.1642634,NA,NA,-0.2574577031222357,0.1372401
trophic_nicheInvertivore,-0.1186246107593818,0.1859664,subset,-0.1229737936161813,0.1551017,-0.1307212233144976,0.181181,-0.10752521865024306,0.1826146
trophic_nicheNectarivore,0.057976832208803314,0.7884961,subset,-0.04729645691100816,0.8208973,0.0032011702817393707,0.9890971,0.005013161914279067,0.979521
trophic_nicheOmnivore,NA,NA,subset,NA,NA,NA,NA,NA,NA
trophic_nicheScavenger,NA,NA,subset,NA,NA,NA,NA,NA,NA
trophic_nicheVertivore,-0.2518351787459954,0.0209276,subset,-0.18444518414108282,0.0795358,-0.2774167948751223,0.0210649,-0.16629000258298393,0.0886375
pc1,-0.0018141210171565296,0.606395,subset,-0.012172956541982284,7.39e-5,-0.0032068661894664994,0.4094309,-0.009479516891169423,7.291e-4
