locality_id,percentage_of_regional_pool_present,number_of_checklists
L5255823,13.268698060941828,65
L6336995,5.56786703601108,114
L3997898,13.321329639889196,97
L1933362,17.257617728531855,152
L5255861,9.6094182825484769,44
L3982249,15.933518005540167,68
L1443087,5.8056872037914689,44
L6441438,6.8625592417061609,17
L8204243,7.8957345971563981,30
L1162231,3.7535545023696679,17
L2753168,21.924170616113745,257
L357169,5.2132701421800949,15
L3255803,15.981042654028439,81
L2816063,16.597156398104268,55
L3245681,6.3127962085308056,20
L2092109,11.483412322274882,40
L456488,20.374407582938385,828
L1357808,7.7251184834123245,66
L3116444,10.080568720379146,171
L2397901,10.199052132701421,47
L3932258,3.5260663507109005,148
L5802124,15.713114754098358,20
L5298117,7.1792207792207794,16
L3731170,6.2831168831168842,129
L957929,4.5896103896103906,29
L4993233,9.392045454545455,200
L2389491,29.65625,126
L4999742,10.795454545454545,15
L1839915,13.948863636363637,16
L1418549,21.743396226415094,79
L1502810,22.520754716981134,38
L1165605,23.830188679245282,50
L875917,24.486792452830194,149
L5529271,11.316981132075473,16
L7485825,17.501886792452829,32
L1054171,30.826415094339623,37
L5551705,8.5698113207547166,59
L4935940,13.943396226415096,30
L1741822,20.377358490566039,93
L6620184,15.973584905660381,16
L469789,3.267924528301887,234
L2488675,12.524528301886793,26
L4150807,8.2754716981132077,22
L3353822,17.10566037735849,56
L276308,26.822641509433961,445
L5465679,16.230188679245284,42
L227485,20.271698113207549,1000
L157136,19.407547169811316,337
L775386,26.211320754716983,935
L6057340,8.4264150943396228,16
L151004,14.026415094339621,190
L1250231,14.279245283018867,42
L568233,20.090566037735851,37
L4637943,17.777358490566041,35
L1818490,8.9622641509433958,34
L7680626,6.3735849056603771,58
L8962971,6.4150943396226419,15
L5090652,12.2,45
L2681978,15.80377358490566,207
L1949767,10.384905660377358,39
L2509479,14.026415094339622,33
L2375531,17.890566037735848,167
L5678983,12.301886792452834,25
L1098392,14.037735849056602,17
L6822584,6.8754716981132074,21
L6037039,7.8301886792452811,24
L300596,11.996226415094341,22
L5765336,7.6037735849056594,24
L621998,19.68679245283019,121
L2607595,17.320754716981131,112
L1534477,16.664150943396226,19
L374938,13.177358490566037,19
L5481773,7.1735849056603787,27
L3085809,13.516981132075472,31
L856812,22.577358490566041,49
L3016763,11.845283018867923,343
L885664,24.811320754716981,36
L1414730,16.026415094339626,29
L632306,12.939622641509434,166
L5752474,1.5056603773584907,19
L4230679,18.486792452830187,387
L3054529,13.407547169811322,23
L464377,14.407547169811318,300
L368366,24.241509433962261,19
L4912530,16.720754716981133,24
L981326,16.426415094339617,562
L603509,14.169811320754715,195
L761510,5.0113207547169809,40
L1161833,23.237735849056609,16
L567317,14.501886792452829,50
L1353359,14.230188679245282,18
L430271,11.630188679245284,83
L5398717,7.5509433962264163,16
L381517,17.007547169811321,1501
L931657,12.135849056603773,26
L5120572,13.192452830188678,47
L1901961,11.071698113207548,142
L562950,19.430188679245283,1197
L562958,18.2,144
L2206392,6.9471698113207543,187
L637478,11.377358490566039,76
L726131,21.766037735849054,321
L270725,9.6528301886792445,205
L1357155,19.19622641509434,52
L5969058,8.8339622641509425,16
L938118,17.358490566037737,15
L5736109,8.5811320754716984,25
L3493917,18.018867924528298,25
L5095300,13.222641509433963,26
L5678984,14.184905660377355,18
L282289,19.720754716981133,208
L8855480,13.007547169811321,17
L3973843,4.132075471698113,35
L1451293,16.886792452830189,40
L380385,5.0037735849056606,81
L4027458,11.683018867924529,53
L3045759,16.29056603773585,382
L5140795,10.030188679245283,34
L6040201,10.883018867924529,28
L1260926,15.501886792452833,36
L2453689,13.683018867924529,21
L1878436,11.486792452830189,71
L508786,20.588679245283021,553
L2092345,13.369811320754721,21
L373110,15.38490566037736,111
L3511199,15.47169811320755,21
L456141,21.935849056603775,530
L845161,21.871698113207547,74
L567512,10.105660377358491,190
L2091893,2.449056603773585,30
L562949,11.59245283018868,282
L1274650,6.8566037735849044,40
L658435,20.056603773584911,811
L5282947,11.981132075471699,32
L270567,23.633962264150945,1886
L5472128,14.615094339622644,31
L3173468,25.558490566037733,61
L3938539,13.083018867924528,85
L5097111,17.845283018867924,162
L7049079,6.2566037735849047,18
L4313071,10.384905660377358,34
L4898167,12.826415094339621,27
L736714,13.920754716981133,27
L3570313,12.777358490566037,81
L4017948,13.879245283018868,19
L3811856,18.415094339622641,115
L1776609,12.694339622641508,28
L648408,15.977358490566038,227
L2462803,13.267924528301885,29
L1161851,17.445283018867926,176
L3079748,15.867924528301886,121
L3258480,12.788679245283019,36
L500069,13.426415094339623,59
L3258686,13.947169811320755,22
L151005,12.305660377358487,107
L5802011,7.8905660377358489,18
L7336948,10.166037735849057,23
L1860221,11.516981132075474,121
L2831921,9.445283018867924,62
L1883196,10.230188679245282,86
L265407,10.022641509433962,63
L522437,21.464150943396227,49
L3263522,15.905660377358494,21
L3499336,13.252830188679244,23
L2911648,9.6188679245283026,298
L3258709,17.067924528301887,69
L198267,10.705660377358491,118
L923401,17.377358490566039,42
L5959387,11.181132075471698,22
L630492,14.245283018867928,28
L5095348,11.788679245283019,43
L512327,15.513207547169811,251
L10486563,11.724528301886792,27
L378641,16.494339622641508,438
L122362,30.222641509433963,3235
L2119376,20.411320754716982,62
L9703703,9.9207547169811328,16
L281970,15.166037735849057,359
L5896007,6.8188679245283019,24
L265408,10.667924528301889,205
L1138012,13.720754716981132,34
L2340007,9.9735849056603776,22
L1352806,12.347169811320756,432
L4620111,14.992452830188681,79
L596550,12.649056603773584,135
L2705906,20.335849056603774,189
L5176264,12.539622641509432,26
L3271580,13.739622641509436,44
L7930324,10.188679245283019,15
L1292111,13.68679245283019,44
L7527090,12.898113207547169,17
L4510805,10.09811320754717,154
L388416,10.554716981132076,64
L3507227,19.90566037735849,30
L2622765,5.9999999999999991,603
L1045111,18.452830188679247,78
L1878448,8.4339622641509422,40
L7308787,20.773584905660378,17
L2967845,15.664150943396226,24
L8153637,25.030188679245285,26
L1807780,19.20754716981132,41
L4091599,26.562264150943395,49
L5168058,19.539622641509435,17
L1343025,12.667924528301887,16
L2497926,10.713207547169809,28
L430192,19.807547169811318,20
L4915849,16.754716981132077,62
L4228711,11.150943396226415,20
L1828534,10.694339622641511,188
L1149834,7.6716981132075466,21
L2851988,13.437735849056605,16
L2354527,15.924528301886792,240
L1387029,18.147169811320751,421
L8223493,7.573584905660379,22
L2824940,20.358490566037737,16
L3919250,9.2415094339622641,85
L2789589,14.603773584905662,26
L2765442,23.460377358490565,21
L2694778,6.3735849056603762,140
L910854,16.056603773584907,288
L5418575,3.4603773584905668,18
L1161865,12.528301886792452,103
L3201578,11.120754716981132,23
L4557401,11.743333333333334,44
L276657,18.923333333333332,64
L4947038,10.756666666666668,22
L9576959,8.3133333333333326,24
L4273726,26.330000000000002,34
L3015505,8.3966666666666665,18
L1040343,13.703333333333333,28
L2169486,22.6,100
L294783,10.553333333333335,311
L2209489,16.893333333333331,135
L2096627,16.87,26
L4298011,15.333333333333334,15
L4276504,5.3933333333333335,65
L965307,3.6033333333333335,44
L628460,23.026666666666667,37
L2275990,14.986666666666666,18
L5852208,6.1066666666666656,22
L5744513,12.706666666666669,329
L4971832,12.003333333333336,42
L6516745,19.106666666666666,31
L241822,19.916666666666668,76
L2510911,16.22666666666667,58
L4879829,12.556666666666665,38
L7180618,15.163333333333336,40
L3793848,4.2333333333333334,53
L2377690,10.35,66
L633067,18.15,301
L4148479,12.123333333333335,17
L4968880,21.20333333333333,40
L4696304,12.603333333333333,21
L246858,21.61,346
L2169184,18.173333333333332,511
L2386418,9.5666666666666664,33
L241019,16.196666666666662,109
L2956581,15.390000000000002,20
L224076,19.019999999999996,262
L580213,14.8,293
L2723697,11.620000000000001,18
L8190245,7.333333333333333,15
L450409,19.42,39
L897280,13.363333333333335,43
L2431393,27.603333333333332,126
L627678,20.886666666666667,16
L4105333,20.333333333333332,15
L4151906,23.106666666666669,16
L4597043,10.9746835443038,32
L9220640,25.810126582278478,22
L5827112,34.291139240506332,43
L5584462,12.025316455696203,15
L855871,33.620253164556964,34
L3636873,23.101265822784811,50
L11222347,10.405063291139243,34
L821822,20.550632911392405,39
L492947,34.88607594936709,251
L1089313,19.544303797468356,47
L4656540,13.063291139240507,16
L8000078,6.3291139240506329,16
L3142542,11.354430379746837,38
L5283367,14.651898734177216,17
L855862,36.544303797468352,576
L3960510,11.886075949367088,35
L492954,20.955696202531641,59
L1485452,12.512658227848103,68
L1280581,20.310126582278478,145
L4120926,13.639240506329116,25
L4055881,14.835443037974683,17
L880290,10.664556962025316,91
L4453092,14.291139240506329,20
L4869212,16.943037974683545,62
L6431583,7.4683544303797467,34
L815073,12.936708860759495,45
L4596582,12.462025316455698,22
L8756520,7.2974683544303796,62
L5838618,8.537974683544304,16
L2064908,3.537974683544304,51
L855840,24.791139240506329,137
L826850,14.30379746835443,227
L1280595,23.10759493670886,31
L2252950,7.6708860759493671,64
L2385185,13.063291139240503,27
L4553423,25.5,35
L7353585,12.962025316455696,21
L4619554,12.626582278481013,56
L4613290,15.708860759493671,42
L5469800,12.246835443037973,51
L5838597,7.5949367088607591,15
L5184595,20.668269230769226,26
L2322944,16.168269230769234,226
L5049461,11.552884615384613,45
L1375180,14.37980769230769,47
L2361473,13.307692307692308,18
L6516266,8.72596153846154,42
L5459196,6.2451923076923075,31
L1663832,20.120192307692307,20
L5056420,11.461538461538462,36
L1651873,7.009615384615385,28
L1747600,13.072115384615385,34
L2264188,5.8798076923076916,16
L1489579,12.39903846153846,68
L3966593,15.98076923076923,221
L7866261,15.538461538461538,56
L1260992,6.2163461538461542,73
L9840676,13.615384615384615,28
L1904994,4.990384615384615,22
L11058716,18.918269230769234,27
L1523741,8.0625,101
L980186,9.3413461538461533,29
L7246369,19.346153846153847,45
L3610088,15.908653846153848,83
L4122879,7.2115384615384617,15
L4363018,6.9951923076923075,32
L6289414,16.0,19
L1371574,4.4375000000000009,44
L682100,12.98134328358209,222
L483302,4.0186567164179117,30
L4102385,11.694029850746269,19
L3216407,11.861940298507465,17
L2975878,16.85820895522388,120
L1823974,16.656716417910449,323
L7913511,9.7537313432835813,33
L1060408,16.802238805970152,75
L1444963,14.91044776119403,83
L3150320,11.436567164179104,47
L911113,13.895522388059701,78
L127427,6.0111940298507465,190
L1282387,15.667910447761191,81
L1288411,8.3656716417910442,24
L4780049,9.996268656716417,41
L246929,22.361940298507463,4953
L685944,8.936567164179106,95
L2646425,8.0522388059701484,17
L6961526,4.9328358208955221,16
L1236915,10.667910447761194,50
L9671945,8.4701492537313428,39
L3097045,12.361940298507465,101
L3263686,9.9477611940298516,81
L1109964,13.369402985074627,270
L3062604,9.1865671641791042,39
L251012,11.481343283582092,662
L127416,18.500000000000004,1493
L712361,12.205223880597014,149
L3127264,14.611940298507461,43
L7156831,13.313432835820896,17
L8167732,20.332089552238802,107
L8719839,8.6194029850746272,63
L3140459,12.361940298507461,19
L5071541,12.037313432835822,29
L7235386,16.973880597014926,161
L835315,10.097014925373134,42
L779318,16.690298507462686,703
L127421,16.085820895522385,320
L1642615,12.343283582089549,24
L1662348,8.9253731343283587,63
L871413,14.347014925373132,63
L3245938,10.0,95
L291732,13.298507462686567,108
L10087159,7.7313432835820892,36
L3820090,8.2723880597014929,29
L712370,18.253731343283579,423
L3462832,5.8134328358208958,61
L578784,7.1231343283582094,68
L3486936,3.6082089552238807,79
L4033938,11.585820895522387,25
L376633,5.3768656716417906,79
L840435,16.664179104477611,345
L1847195,6.21641791044776,61
L2793571,16.291044776119403,85
L578436,15.690298507462687,95
L1438736,12.201492537313435,38
L3975622,8.2686567164179081,18
L127414,13.156716417910447,389
L1306908,23.738805970149254,1045
L2926146,11.152985074626866,63
L3998307,9.5671641791044753,45
L7228082,13.764925373134329,124
L8245856,7.0074626865671643,108
L1512409,8.62686567164179,59
L1293707,9.8358208955223887,1106
L2824594,5.5410447761194028,141
L4541961,8.3358208955223887,141
L3319953,6.7723880597014938,18
L4541493,9.8022388059701484,197
L1864712,15.42910447761194,52
L1843060,4.5410447761194028,20
L9926527,11.712686567164177,16
L5858488,10.996268656716419,31
L251010,4.6044776119402986,108
L805725,10.35820895522388,56
L127424,12.022388059701493,32
L4229923,10.447761194029852,15
L2102274,13.615671641791044,43
L1672316,3.6679104477611939,73
L4152078,5.2649253731343286,23
L143084,18.798507462686569,3484
L5251939,4.8507462686567164,15
L4467672,10.947761194029852,42
L2155438,11.854477611940299,28
L2058275,12.171641791044772,69
L710596,9.2425373134328357,37
L2587979,12.134328358208954,87
L1626928,13.395522388059701,26
L5584024,12.272388059701491,926
L127418,12.753731343283579,516
L1790190,15.67910447761194,26
L2652888,20.384328358208954,95
L2975110,10.14179104477612,133
L614607,22.57089552238806,1981
L3197145,8.01865671641791,77
L554623,11.350746268656716,268
L6312728,14.384328358208958,19
L2084413,10.440298507462687,29
L588390,6.2164179104477615,54
L637204,7.9141791044776122,38
L5101881,11.91044776119403,146
L637187,10.906716417910447,189
L9948912,11.57462686567164,107
L3954218,6.16417910447761,159
L3984994,11.324626865671643,81
L4230553,12.638059701492535,351
L3172922,12.108208955223878,41
L6717895,5.4738805970149258,31
L376632,16.414179104477608,1544
L1839509,9.4328358208955247,22
L992094,13.914179104477611,22
L5643565,3.1753731343283582,68
L1838382,9.1679104477611943,218
L241457,13.317164179104479,291
L3637479,9.1380597014925371,162
L588345,6.9253731343283578,241
L1982452,11.921641791044774,183
L3098639,17.914179104477611,821
L2723428,7.9626865671641793,35
L3438972,15.712686567164178,25
L127425,16.477611940298505,1234
L3515671,12.817164179104477,23
L588392,8.10820895522388,187
L200830,17.220149253731343,2378
L3515034,6.6417910447761193,57
L1441968,10.022388059701493,39
L5792764,8.7947761194029859,21
L5656598,11.615671641791044,43
L1672227,9.0,22
L8648880,9.35820895522388,26
L3521741,11.634328358208956,25
L880422,8.6156716417910442,55
L3002389,7.2649253731343295,254
L5296122,4.5373134328358207,66
L714849,14.078358208955226,57
L7920142,14.955223880597014,159
L127415,19.526119402985078,434
L870652,7.7014925373134329,1154
L8963426,7.5074626865671643,20
L613962,12.410447761194032,33
L8391904,9.5149253731343286,59
L5573764,7.2611940298507465,89
L1017638,24.324626865671647,1602
L127417,8.4589552238805972,61
L8926451,15.559701492537313,17
L3978544,10.85820895522388,48
L3921477,17.134328358208954,141
L504306,9.4850746268656714,83
L3637615,4.3022388059701484,380
L3274775,10.250000000000002,54
L5744252,15.26492537313433,1328
L3489176,14.33955223880597,234
L5199166,15.563432835820896,39
L6309312,11.996268656716419,56
L614796,12.932835820895521,131
L2382129,10.16044776119403,495
L774942,7.0783582089552244,27
L4172903,17.007462686567163,69
L4963637,18.126865671641788,104
L5396014,12.011194029850746,146
L502311,18.981343283582088,378
L2630894,14.343283582089557,36
L3304632,16.279850746268657,54
L1739989,9.2201492537313428,64
L4351584,4.7873134328358216,101
L1773492,6.9738805970149249,19
L3362129,10.91044776119403,115
L627305,12.906716417910449,117
L7028650,10.46268656716418,29
L8207993,13.205223880597014,21
L280708,7.7761194029850742,32
L2798021,15.787313432835822,66
L5960906,5.9813432835820892,562
L8717038,7.3097014925373136,37
L1804940,14.473880597014926,2655
L1669570,5.9365671641791034,133
L1940410,5.5485074626865671,18
L3182671,10.373134328358208,24
L3238963,8.8358208955223887,55
L7666135,16.514925373134332,235
L578423,14.048507462686569,354
L1053228,9.8955223880597032,18
L659092,5.5970149253731343,15
L1666354,12.070895522388058,31
L2844154,14.119402985074629,46
L4332644,3.8358208955223883,110
L5082053,16.791044776119403,15
L714124,6.1604477611940309,63
L2272583,14.988805970149258,38
L483824,7.0410447761194046,209
L225655,10.772388059701493,105
L663284,7.3320895522388065,22
L3199842,5.9365671641791042,22
L631602,13.111940298507463,181
L3185665,7.9664179104477615,19
L2041460,11.052238805970148,117
L2416944,3.5485074626865662,32
L621234,13.46268656716418,293
L3932939,5.1305970149253728,63
L242135,10.309701492537313,77
L2453267,6.7164179104477633,22
L7463553,12.585820895522387,27
L6268753,7.0186567164179117,109
L971394,4.0410447761194028,23
L4044113,18.28358208955224,15
L10102650,17.53358208955224,16
L8697830,7.7089552238805954,18
L225752,16.160447761194025,397
L2867445,8.8507462686567155,21
L2086726,6.0559701492537314,21
L839132,7.7313432835820892,26
L299733,7.92910447761194,374
L835243,13.932835820895521,275
L1773796,17.100746268656717,171
L1161428,13.623134328358208,870
L3994507,12.555970149253731,17
L5252972,8.8432835820895512,35
L2097252,12.044776119402986,75
L458792,14.082089552238806,981
L816889,11.738805970149254,42
L2588958,18.208955223880597,39
L6324932,10.029850746268657,33
L578426,10.80223880597015,700
L1364250,12.544776119402984,61
L2501609,10.705223880597014,731
L494919,15.902985074626866,92
L1571841,17.138059701492537,70
L7872424,15.283582089552237,43
L1672219,7.3171641791044779,30
L3388689,7.9925373134328357,43
L578833,11.477611940298507,31
L2932548,10.328638497652582,15
L999164,8.8375,146
L1824125,17.704166666666662,72
L4479470,11.170833333333333,89
L1163587,14.650000000000002,23
L2694888,18.670833333333334,71
L2794074,11.054166666666669,38
L2697026,8.2583333333333329,24
L4145360,6.3041666666666663,36
L3961129,22.541666666666664,94
L2101641,15.812499999999998,34
L322126,15.0875,169
L2036946,6.7458333333333353,57
L991150,12.970833333333333,24
L2694764,20.425,133
L511955,26.825,755
L251209,23.920833333333334,1858
L8018429,8.8624999999999989,90
L1423542,10.283333333333333,59
L792730,15.454166666666669,32
L384255,29.195833333333329,369
L2487619,12.0375,27
L2675319,5.2583333333333337,30
L2727443,4.9916666666666654,35
L5131547,15.1625,33
L876447,13.895833333333332,253
L2694943,22.1875,63
L2156802,16.045833333333334,38
L6448495,7.5041666666666655,23
L5752046,28.500000000000007,32
L4616308,15.083333333333336,225
L1490366,5.4041666666666668,18
L2676444,8.3750000000000018,135
L6709546,7.8541666666666679,92
L9404414,14.083333333333336,23
L9210382,19.6,83
L10480798,9.7458333333333318,20
L2661370,5.1583333333333332,46
L5263638,23.770833333333332,269
L9025485,12.729166666666666,52
L5129838,10.270833333333334,31
L675320,24.125,358
L4349776,10.329166666666667,29
L10034456,8.3541666666666661,17
L1014427,21.383333333333333,27
L1961910,3.6833333333333331,36
L766466,15.9375,183
L1807326,18.962500000000002,149
L2709811,14.308333333333335,32
L1918176,10.320833333333335,115
L888640,23.266666666666666,53
L678939,12.883333333333333,1966
L4145495,15.158333333333335,28
L3171880,9.4458333333333329,31
L1568738,18.004166666666666,358
L3726306,15.587500000000002,16
L1846994,8.3791666666666664,162
L1526657,21.370833333333337,76
L8511300,3.3333333333333335,15
L693302,16.18333333333333,34
L2107059,16.358333333333334,77
L5937174,5.833333333333333,15
L4689078,11.954166666666667,33
L2795407,13.2625,197
L2176449,19.483333333333338,49
L621263,12.95,733
L9977489,6.9583333333333339,31
L985755,27.729166666666668,108
L1145147,20.308333333333334,131
L895338,13.458333333333336,18
L462620,18.020833333333336,280
L9806198,5.6958333333333346,176
L3624701,16.8125,17
L298485,16.970833333333335,239
L2172582,14.533333333333335,43
L2914899,18.8625,74
L5410926,10.966666666666667,23
L4556183,20.062499999999996,308
L2862411,22.616666666666664,116
L1864984,22.491666666666667,526
L1014398,17.529166666666665,449
L388494,31.833333333333329,6691
L1871511,6.9708333333333332,306
L2675307,6.2041666666666666,21
L374281,17.675000000000004,537
L454613,22.616666666666667,40
L1142116,15.6875,162
L995547,22.804166666666667,198
L947335,21.870833333333337,328
L928266,17.116666666666667,227
L389737,15.391666666666667,1193
L11209310,15.512499999999998,19
L2453940,8.675,17
L2675312,6.4666666666666668,41
L6560145,7.3333333333333321,38
L4861290,9.6666666666666661,31
L4689025,19.991666666666667,70
L2380893,19.366666666666667,111
L374235,17.791666666666664,241
L1902335,20.441666666666663,183
L2675303,6.0666666666666655,61
L1789802,16.291666666666668,55
L2840417,9.6125,418
L1534335,17.154166666666665,60
L3266022,6.4541666666666675,19
L299938,3.7208333333333332,173
L2104283,14.195833333333333,23
L5535905,9.9541666666666675,73
L8414922,10.833333333333334,26
L4176331,16.875,169
L2985785,16.054166666666664,116
L1010953,22.208333333333332,16
L677743,17.758333333333333,129
L623139,24.158333333333335,1809
L2506821,11.675,32
L3575289,2.9166666666666665,15
L3481305,11.945833333333333,72
L4635549,19.725,55
L3565687,13.4625,38
L626599,8.3916666666666675,431
L651186,11.920833333333333,466
L3556560,14.258333333333335,92
L5829689,4.6750000000000007,20
L276900,21.974999999999998,3333
L1489470,16.070833333333333,16
L5129819,6.675,108
L2132642,9.8625,161
L4445310,12.387499999999998,20
L1136228,11.029166666666669,18
L685081,14.825000000000001,49
L11106190,17.7125,49
L4145377,3.7333333333333329,33
L275577,25.795833333333334,1050
L4566255,14.295833333333331,35
